DEAL_NO,PURPOSE,AMOUNT
500744,Equipment Purchase,4058.16
500745,Working Capital,8373.61
500745,Debt Consolidation,8373.62
500746,Vehicle Purchase,635.43
500747,Business Expansion,2128.43
500747,Working Capital,2128.44
500748,Vehicle Purchase,1388.35
500749,Business Expansion,113009.43
500750,Business Expansion,2703.24
500751,Working Capital,15456.29
500752,Working Capital,3423.43
500753,Business Expansion,3725.62
500754,Business Expansion,4198.88
500755,Business Expansion,8124.84
500756,Home Purchase,813.76
500757,Vehicle Purchase,1069.0
500758,Real Estate Purchase,777.07
500758,Home Purchase,777.06
500759,Debt Consolidation,2292.85
500760,Working Capital,38535.68
500761,Equipment Purchase,871.8
500761,Business Expansion,871.79
500761,Working Capital,871.8
500762,Working Capital,1510.42
500762,Business Expansion,1510.43
500763,Equipment Purchase,56188.73
500764,Equipment Purchase,1073.54
500765,Business Expansion,63943.58
500766,Working Capital,1438.25
500767,Vehicle Purchase,691.89
500768,Business Expansion,23209.47
500769,Business Expansion,453.34
500770,Business Expansion,2051.37
500771,Equipment Purchase,11938.98
500771,Working Capital,11938.98
500771,Business Expansion,11938.97
500772,Working Capital,4121.12
500772,Equipment Purchase,4121.12
500772,Working Capital,4121.12
500773,Vehicle Purchase,1682.0
500774,Debt Consolidation,8528.93
500775,Business Expansion,19913.14
500776,Real Estate Purchase,101.5
500777,Working Capital,30734.16
500778,Working Capital,141882.95
500779,Business Expansion,2471.31
500780,Business Expansion,39117.3
500781,Vehicle Purchase,86.07
500782,Home Purchase,662.1
500782,Real Estate Purchase,662.09
500783,Working Capital,1755.52
500784,Real Estate Purchase,670.72
500785,Debt Consolidation,6579.43
500786,Business Expansion,30638.69
500787,Working Capital,907.13
500787,Working Capital,907.13
500787,Equipment Purchase,907.14
500788,Vehicle Purchase,1436.22
500789,Construction,13956.82
500790,Debt Consolidation,559.17
500790,Personal Consumption,559.17
500790,Working Capital,559.18
500791,Debt Consolidation,1123.53
500792,Debt Consolidation,281.28
500793,Business Expansion,2740.59
500794,Equipment Purchase,156054.26
500795,Vehicle Purchase,1479.5
500796,Business Expansion,2827.41
500797,Working Capital,77481.08
500798,Business Expansion,39363.32
500799,Working Capital,6332.14
500800,Debt Consolidation,3478.3
500801,Working Capital,1521.25
500801,Business Expansion,1521.26
500801,Construction,1521.25
500802,Construction,98753.51
500803,Working Capital,1597.69
500803,Working Capital,1597.7
500804,Working Capital,27489.92
500805,Equipment Purchase,158415.26
500806,Equipment Purchase,4190.95
500807,Vehicle Purchase,1824.62
500808,Vehicle Purchase,732.79
500808,Working Capital,732.8
500809,Business Expansion,1546.9
500809,Working Capital,1546.9
500809,Equipment Purchase,1546.91
500810,Equipment Purchase,3183.36
500811,Business Expansion,2878.48
500812,Business Expansion,3844.44
500813,Debt Consolidation,1337.82
500814,Vehicle Purchase,798.88
500815,Business Expansion,30245.71
500816,Debt Consolidation,166407.34
500817,Equipment Purchase,4602.15
500818,Working Capital,739.39
500818,Equipment Purchase,739.39
500818,Business Expansion,739.4
500819,Home Purchase,810.0
500820,Working Capital,16612.03
500821,Working Capital,3629.99
500822,Business Expansion,3334.6
500823,Working Capital,26119.65
500824,Working Capital,372.07
500824,Personal Consumption,372.07
500824,Debt Consolidation,372.06
500825,Business Expansion,26297.01
500826,Debt Consolidation,31086.97
500827,Real Estate Purchase,1352.47
500828,Business Expansion,1137.09
500828,Equipment Purchase,1137.1
500828,Working Capital,1137.09
500829,Vehicle Purchase,851.19
500830,Working Capital,4148.54
500831,Working Capital,1610.11
500832,Working Capital,2830.87
500833,Business Expansion,3256.09
500834,Real Estate Purchase,964.01
500835,Working Capital,77561.12
500836,Personal Consumption,1067.62
500837,Personal Consumption,891.8
500837,Debt Consolidation,891.81
500838,Equipment Purchase,868.87
500839,Business Expansion,16224.89
500839,Working Capital,16224.88
500840,Business Expansion,39195.77
500841,Personal Consumption,1662.92
500842,Working Capital,714.2
500842,Vehicle Purchase,714.19
500843,Business Expansion,64145.69
500844,Vehicle Purchase,596.22
500845,Vehicle Purchase,1259.49
500846,Working Capital,1915.31
500847,Business Expansion,13331.0
500847,Working Capital,13331.01
500848,Working Capital,43670.71
500848,Working Capital,43670.7
500849,Business Expansion,490.59
500849,Working Capital,490.6
500849,Equipment Purchase,490.59
500850,Business Expansion,866.3
500850,Working Capital,866.31
500851,Debt Consolidation,170822.19
500852,Working Capital,2097.57
500853,Working Capital,19573.65
500854,Business Expansion,3815.14
500855,Working Capital,9112.85
500855,Business Expansion,9112.85
500855,Equipment Purchase,9112.86
500856,Business Expansion,154887.1
500857,Equipment Purchase,75162.48
500858,Working Capital,3012.25
500859,Working Capital,4241.16
500860,Working Capital,67980.36
500861,Construction,155063.71
500862,Debt Consolidation,182418.02
500863,Business Expansion,1854.58
500864,Business Expansion,29481.87
500865,Equipment Purchase,1002.41
500866,Business Expansion,14808.17
500866,Working Capital,14808.18
500867,Business Expansion,118172.51
500868,Business Expansion,4835.3
500869,Vehicle Purchase,937.01
500870,Equipment Purchase,3337.99
500871,Debt Consolidation,10065.05
500872,Working Capital,945.05
500873,Debt Consolidation,1744.14
500874,Business Expansion,24001.08
500875,Debt Consolidation,877.09
500875,Personal Consumption,877.09
500876,Real Estate Purchase,275.19
500877,Real Estate Purchase,1264.75
500878,Construction,11205.61
500879,Business Expansion,2560.04
500880,Debt Consolidation,340.42
500881,Construction,105349.13
500882,Vehicle Purchase,1247.46
500883,Debt Consolidation,627.51
500884,Working Capital,11689.25
500885,Debt Consolidation,12401.92
500885,Working Capital,12401.91
500886,Debt Consolidation,3537.22
500887,Personal Consumption,45.77
500888,Debt Consolidation,2724.62
500889,Real Estate Purchase,299.09
500890,Working Capital,3009.16
500891,Working Capital,2895.21
500892,Working Capital,1459.99
500892,Debt Consolidation,1459.99
500893,Working Capital,2459.41
500894,Construction,18249.39
500895,Business Expansion,27728.38
500896,Real Estate Purchase,414.79
500896,Working Capital,414.8
500896,Home Purchase,414.79
500897,Business Expansion,32231.44
500898,Personal Consumption,1791.0
500899,Working Capital,253.95
500899,Working Capital,253.96
500899,Business Expansion,253.95
500900,Vehicle Purchase,65.11
500901,Construction,17751.52
500902,Working Capital,27233.14
500903,Real Estate Purchase,1574.69
500904,Construction,3501.75
500905,Working Capital,165349.37
500906,Vehicle Purchase,44.21
500907,Working Capital,12012.74
500908,Business Expansion,4271.35
500909,Construction,2080.35
500910,Working Capital,2289.93
500910,Equipment Purchase,2289.93
500911,Refinance,182507.98
500912,Refinance,2050.91
500913,Refinance,11520.3
500914,Refinance,8027.13
500915,Refinance,681.79
500915,Refinance,681.79
500915,Refinance,681.79
500916,Refinance,19295.26
500917,Refinance,960.12
500917,Refinance,960.12
500917,Refinance,960.11
500918,Refinance,4037.64
500919,Home Purchase,111.16
500920,Working Capital,3398.5
500921,Debt Consolidation,2758.88
500922,Debt Consolidation,8112.59
500923,Debt Consolidation,1682.95
500924,Vehicle Purchase,712.05
500925,Personal Consumption,207.25
500925,Working Capital,207.25
500925,Debt Consolidation,207.25
500926,Vehicle Purchase,1441.18
500927,Real Estate Purchase,940.12
500928,Vehicle Purchase,1302.76
500929,Working Capital,1274.56
500929,Business Expansion,1274.57
500929,Equipment Purchase,1274.56
500930,Home Purchase,1397.82
500931,Working Capital,8131.66
500932,Equipment Purchase,1923.39
500932,Working Capital,1923.4
500933,Debt Consolidation,42123.99
500934,Equipment Purchase,19498.2
500934,Business Expansion,19498.2
500935,Equipment Purchase,1733.49
500936,Business Expansion,2596.63
500937,Working Capital,13751.27
500938,Business Expansion,6019.58
500939,Working Capital,1137.1
500939,Working Capital,1137.1
500940,Business Expansion,18316.66
500941,Equipment Purchase,13677.63
500942,Business Expansion,4585.51
500943,Working Capital,11238.66
500944,Equipment Purchase,298.12
500945,Business Expansion,39628.91
500946,Personal Consumption,439.18
500946,Working Capital,439.18
500947,Working Capital,2101.11
500947,Equipment Purchase,2101.12
500948,Business Expansion,2695.31
500949,Working Capital,16881.71
500950,Working Capital,2261.8
500951,Working Capital,122.67
500951,Vehicle Purchase,122.68
500952,Debt Consolidation,2585.59
500953,Business Expansion,15439.95
500954,Working Capital,4373.77
500955,Construction,9301.4
500956,Equipment Purchase,27868.32
500957,Business Expansion,16482.11
500958,Working Capital,18179.48
500959,Personal Consumption,458.31
500960,Debt Consolidation,1736.51
500961,Working Capital,93701.76
500962,Debt Consolidation,5760.54
500963,Working Capital,16641.92
500964,Construction,21084.75
500965,Vehicle Purchase,1070.82
500966,Real Estate Purchase,1539.26
500967,Working Capital,10561.1
500968,Construction,3851.63
500969,Business Expansion,125819.29
500970,Business Expansion,870.46
500970,Working Capital,870.45
500971,Vehicle Purchase,1294.06
500972,Equipment Purchase,24421.53
500973,Equipment Purchase,3282.44
500974,Business Expansion,3795.42
500975,Business Expansion,1244.97
500975,Equipment Purchase,1244.97
500975,Working Capital,1244.97
500976,Equipment Purchase,26912.65
500977,Equipment Purchase,3486.01
500978,Debt Consolidation,1683.71
500979,Working Capital,1742.85
500979,Equipment Purchase,1742.84
500980,Working Capital,18431.11
500980,Business Expansion,18431.11
500981,Business Expansion,138920.98
500982,Business Expansion,591.24
500983,Business Expansion,5356.03
500983,Working Capital,5356.04
500984,Business Expansion,1714.71
500985,Construction,119741.68
500986,Working Capital,1940.22
500987,Working Capital,72261.96
500988,Business Expansion,10836.31
500989,Working Capital,235.48
500989,Debt Consolidation,235.48
500990,Working Capital,2566.25
500990,Equipment Purchase,2566.25
500991,Business Expansion,156398.54
500992,Equipment Purchase,4099.31
500993,Working Capital,1547.88
500994,Debt Consolidation,387.4
500995,Home Purchase,857.43
500996,Working Capital,2076.53
500996,Working Capital,2076.53
500997,Business Expansion,38889.76
500998,Working Capital,59130.09
500998,Business Expansion,59130.1
500998,Equipment Purchase,59130.09
500999,Debt Consolidation,2690.27
501000,Construction,18665.89
501001,Debt Consolidation,2098.28
501002,Vehicle Purchase,524.09
501002,Working Capital,524.09
501003,Debt Consolidation,4155.14
501004,Working Capital,100135.85
501005,Equipment Purchase,450.41
501005,Working Capital,450.4
501005,Working Capital,450.41
501006,Working Capital,8507.76
501007,Business Expansion,2064.98
501008,Equipment Purchase,3066.81
501009,Debt Consolidation,17816.8
501010,Personal Consumption,422.45
501010,Debt Consolidation,422.45
501010,Working Capital,422.45
501011,Business Expansion,3226.74
501012,Debt Consolidation,273.18
501013,Equipment Purchase,5701.1
501013,Business Expansion,5701.1
501013,Working Capital,5701.1
501014,Working Capital,748.95
501014,Business Expansion,748.95
501014,Construction,748.94
501015,Construction,9262.28
501016,Business Expansion,33085.51
501017,Working Capital,17345.93
501017,Equipment Purchase,17345.93
501018,Business Expansion,38221.19
501019,Home Purchase,712.69
501020,Business Expansion,35684.9
501021,Working Capital,21544.88
501022,Equipment Purchase,2713.0
501023,Debt Consolidation,15669.14
501024,Equipment Purchase,19172.5
501025,Real Estate Purchase,621.87
501026,Equipment Purchase,2315.57
501027,Business Expansion,3253.74
501028,Debt Consolidation,91726.91
501029,Working Capital,2186.12
501030,Equipment Purchase,63377.1
501031,Debt Consolidation,88.37
501032,Working Capital,1257.58
501033,Business Expansion,147369.21
501034,Working Capital,2732.0
501035,Working Capital,56.93
501035,Debt Consolidation,56.92
501035,Personal Consumption,56.93
501036,Vehicle Purchase,1620.71
501037,Business Expansion,4334.44
501038,Working Capital,88885.02
501039,Debt Consolidation,167909.18
501040,Construction,1004.66
501040,Business Expansion,1004.65
501040,Working Capital,1004.66
501041,Business Expansion,2650.72
501042,Personal Consumption,1692.0
501043,Business Expansion,1532.36
501044,Working Capital,2375.89
501045,Debt Consolidation,384.39
501046,Working Capital,459.75
501046,Business Expansion,459.76
501047,Business Expansion,14474.0
501048,Business Expansion,3795.56
501049,Working Capital,1676.09
501050,Working Capital,1294.46
501050,Debt Consolidation,1294.46
501051,Business Expansion,188940.09
501052,Business Expansion,12848.57
501053,Business Expansion,2146.49
501054,Equipment Purchase,10569.54
501055,Working Capital,165.23
501055,Working Capital,165.23
501056,Equipment Purchase,3059.59
501056,Business Expansion,3059.6
501057,Equipment Purchase,3850.76
501058,Business Expansion,20399.62
501059,Working Capital,49782.21
501059,Working Capital,49782.21
501060,Equipment Purchase,1395.35
501060,Working Capital,1395.35
501061,Working Capital,9192.94
501062,Business Expansion,2316.88
501063,Construction,3363.72
501064,Working Capital,1169.32
501065,Working Capital,559.35
501065,Vehicle Purchase,559.35
501066,Equipment Purchase,3663.38
501067,Personal Consumption,1664.25
501068,Working Capital,1872.97
501069,Business Expansion,124987.11
501070,Vehicle Purchase,1045.41
501071,Working Capital,668.12
501071,Business Expansion,668.12
501071,Construction,668.12
501072,Working Capital,156080.72
501073,Real Estate Purchase,641.44
501074,Construction,9185.75
501075,Business Expansion,85419.04
501076,Equipment Purchase,6920.63
501077,Business Expansion,4167.3
501078,Vehicle Purchase,379.06
501079,Working Capital,2291.52
501079,Equipment Purchase,2291.52
501080,Real Estate Purchase,378.32
501081,Construction,133593.17
501082,Business Expansion,334.12
501083,Equipment Purchase,4256.41
501084,Business Expansion,585.46
501084,Equipment Purchase,585.46
501084,Working Capital,585.46
501085,Working Capital,5242.69
501086,Business Expansion,184972.35
501087,Real Estate Purchase,1592.04
501088,Working Capital,858.5
501088,Business Expansion,858.51
501088,Construction,858.5
501089,Working Capital,135680.65
501090,Working Capital,648.8
501090,Debt Consolidation,648.81
501091,Business Expansion,1824.36
501092,Vehicle Purchase,456.0
501093,Home Purchase,972.63
501094,Home Purchase,655.37
501095,Vehicle Purchase,1736.75
501096,Equipment Purchase,13338.61
501097,Equipment Purchase,7985.68
501098,Working Capital,986.68
501099,Business Expansion,63926.61
